Казанский кафедральный собор;Казанская пл., д. 2
Князь-Владимирский собор;ул.Блохина, д.26
Спасо-Преображенский собор;191028, г. Санкт-Петербург, Центральный р-н, Преображенская площадь, д.1
Собор Святой Живоначальной Троицы Лейб-Гвардии Измайловского полка;Измайловский пр., д. 7-а.
Николо-Богоявленский морской собор;Никольская пл., д. 1/3
Вознесенский (Софийский) собор в Царском Селе;г. Пушкин, Софийская пл., д. 1
Храм Феодоровской иконы Божией Матери в память 300-летия Дома Романовых;ул. Миргородская, 1 B, литер A
Феодоровский Государев собор в Царском Селе;196607, Санкт-Петербург, г. Пушкин, Академический пр., д. 34.
Собор св. прп. Исаакия Далматского «Исаакиевский»;Исаакиевская площадь, д. 4.
Павловский собор г. Гатчина;г. Гатчина, ул. Соборная, д. 26.
Спасо-Преображенский собор в г. Тихвине;196105, Ленинградская обл., г. Тихвин, пл. Свободы, д. 9.
Спасо-Преображенский собор в г. Выборге;г. Выборг, Соборная пл., д. 1.
Кафедральный Собор Рождества Пресвятой Богородицы в Приозерске;г. Приозерск, ул. Калинина, 5
Собор св. вмц. Екатерины в г. Кингисеппе;город Кингисепп, пл. Николаева, д. 16.
Собор иконы Божией Матери «Неопалимая Купина» в Сосновом Бору;г. Сосновый Бор, Соборный проезд, д. 1
Воскресенский собор г. Луги;г. Луга, пр. Кирова, д. 54.
Казанский собор г. Луги;город Луга, улица Гагарина.
Собор Покрова Пресвятой Богородицы г. Гатчина;г. Гатчина, ул. Красная, д. 1-а.
Собор св. Архистратига Божия Михаила и всех Небесных Сил Бесплотных в пос. Токсово;пос. Токсово, ул. Лыжная, д. 16.
Собор Благовещения Пресвятой Богородицы в г. Шлиссельбурге;г. Шлиссельбург, Красная площадь, д.1
Свято-Троицкая Александро-Невская Лавра;наб.р.Монастырки, д.1
Воскресенский Новодевичий монастырь;196084, Россия, Санкт-Петербург, Московский пр., 100
Иоанновский ставропигиальный женский монастырь;197022 г. Санкт-Петербург, наб. р. Карповки, д.45. Тел.: 234-24-27.
Свято-Троицкая Сергиева Приморская мужская пустынь;198515, г. Санкт–Петербург, г.Стрельна, Санкт-Петербургское шоссе, дом 15
Собор свв. апп. Петра и Павла г. Петергофа;город Петергоф, Санкт-Петербургский проспект, д. 32.
Храм мученика Вонифатия Тарсийского в Приморском районе;пер. Серебряков, дом 11
Храм Благовещения Пресвятой Богородицы п. Пудость (строится);посёлок Пудость
Храм Покрова Пресвятой Богородицы в п.Тельмана (строится);пос. Тельмана
Храм Успения Пресвятой Богородицы п. Хиттолово (строится);посёлок Хиттолово
Храм иконы Божией Матери "Умиление" в ДНП "Бриллиант" (Агалатово) (строится);ДНП "Бриллиант"
Подворье Коневского монастыря во Владимирской бухте;Владимирская бухта
Храм свт. Спиридона Тримифунтского в дер. Борисова Грива (строится);дер. Борисова Грива
Храм Воскресения Христова в Малой Коломне (планируется воссоздание);пл. Кулибина
Храм Святой Троицы на Малой Охте (планируется);ул. Хасанская, дом 15
Домовый храм в честь Преображения Господня на Лиговском проспекте;Лиговский проспект, дом 123
Храм иконы Божией Матери «Знамение» в г. Петергоф (планируется);г. Петергоф
Храм свмч. Философа Орнатского в ЖК «Новая Охта» на Васнецовском проспекте (планируется);Васнецовский проспект, ЖК «Новая Охта».
Храм святых Царственных Страстотерпцев на Шафировском пр. (планируется);Шафировский проспект
Храм-часовня Крестителя Господня Иоанна Предтечи на Иликовском кладбище г. Ломоносов (планируется);г. Ломоносов, Иликовская дорога, дом 1
Храм святого праведного Лазаря Четверодневного в Красном Селе (планируется);г. Красное Село, СНТ «Заря», ул. 3-я аллея, участок 5
Храм святого праведного Лазаря Четверодневного в Красном Селе (малый);г. Красное Село, СНТ «Заря», ул. 3-я аллея, участок 5
Храм святителя Николая Чудотворца на Васильевском острове (планируется);В.О., наб. реки Смоленки д.2
Храм Успения Пресвятой Богородицы в Невском районе (планируется);2-й Рабфаковсковский переулок, 16
Храм священномученика Харлампия на ул. Староорловской в Озерках;ул.Староорловская (в Озерках)
Домовый храм Покрова Божией матери при Санкт-Петербургской психиатрической больнице специального типа с интенсивным наблюдением;ул. Арсенальная, дом 9
Храм Пресвятой Владычицы Богородицы, игумении горы Афонской, п. Саперный (строится);г. Колпино, пос. Саперный, ул. Дорожная, около дома № 11
Домовый храм архистратига Михаила в Инженерном (Михайловском) замке;ул. Садовая, 2
Часовня прп. Серафима Вырицкого в Вырице;пос. Вырица
Храм Покрова Пресвятой Богородицы в д. Прибытково;пос. Прибытково, Центральная улица, 1
Храм в честь чуда Архистратига Михаила в Хонех в Старо-Паново;Старо-Паново, Рабочая улица
Храм Владимирской иконы Божией Матери в садоводческом массиве «Мшинская» (строится);садоводческий массив «Мшинская», садоводство "Дизелист", 7-я линия
Храм-часовня Успения Пресвятой Богородицы в садоводческом массиве «Мшинская»;садоводческий массив «Мшинская», торгово-бытовой блок.
Музейно-монастырский комплекс в честь преподобного Серафима Вырицкого (строится);пос. Вырица, Майский пр., 39
Храм св. равноап. вел. кн. Владимира в здании Инспекции государственного пожарного надзора по Западному военному округу г. Санкт-Петербурга;наб. Обводного канала, д. 39.
Часовня святого мученика Авраамия Болгарского в Купчино (строится);пр. Славы, северо-восточнее дома 52, корп. 1, лит. А по проспекту Славы.
Храм святителя Спиридона Тримифунтского в военном городке № 49 Кронштадта;г. Кронштадт, Кронштадтское шоссе, дом 29
Храм в честь иконы Божией Матери Порт-Артурская (строится);пр. Героев, северо-восточнее пересечения с ул. М. Казакова
Храм в честь Поклонения честным веригам апостола Петра в СИЗО-1 г. Колпино;г. Колпино, ул. Колпинская, д.9
Домовый храм иконы Божией Матери «Трех радостей» в Санкт-Петербургском художественном музее;наб. реки Смоленки, дом 2
Свято-Мирониевский храм Лейб-Гвардии Егерского полка (планируется воссоздание);набережная Обводного канала, дом 99
Храм святителя Николая Чудотворца в пос. Шушары;посёлок Шушары, улица Первомайская, дом 20
Храм преподобного Моисея Мурина в реабилитационном центрe "София";
Храм Казанской иконы Божией Матери в СНТ «Восход» в пос. Синявино;поселок Синявино, СНТ Восход-2, Восход массив
Храм вмч. Димитрия Солунского в с. Старая Ладога;село Старая Ладога
Храм вмч. Георгия Победоносца в с. Старая Ладога;село Старая Ладога
Храм Рождества Богородицы при Всеволожской клинической межрайонной больнице;город Всеволожск, Колтушское шоссе, д. 20
Храм святителя Луки Войно-Ясенецкого в Комарово;посёлок Комарово, Озерная улица, севернее дома 46 (у входа на Комаровское кладбище)
Храм-часовня Святой Живоначальной Троицы в Ораниенбауме;город Ломоносов, улица Оранжерейная д. 19
Храм святых мучениц Веры, Надежды, Любови и матери их Софии г. Ломоносова;город Ломоносов, улица Первомайская, дом 3, лит. А
Храм Николая Чудотворца при Санкт-Петербургском университете ГПС МЧС России (строится);улица Фучика, дом 10. СПб университет ГПС МЧС России
Часовня Казанской иконы Божией Матери в дерене Мелекса;Хваловская волость, у деревни Мелексы
Храм преподобной великой княгини Анастасии Киевской г. Петергоф;город Петергоф, предместье Знаменка, улица Чайковского, дом 13
Храм преподобного Серафима Саровского в деревне Нурма;деревня Нурма, на Нурменском кладбище
Храм Святой Троицы в деревне Нурма;деревня Нурма
Храм мучениц Веры, Надежды, Любви и матери их Софии в Новолисино (строится);деревня Новолисино
Собор святого апостола Андрея Первозванного г. Волхова;г. Волхов, Кировский пр., д. 20
Храм св. Петра Афонского и св. княгини Ольги на территории войсковой части в Морье (восстанавливается);посёлок Морье
Храм иконы Божией Матери «Споручница Грешных» в поселке Васкелово (строится);посёлок Васкелово
Храм вмч. Пантелеимона на Свердловской набережной;Свердловская наб., дом 40, кор.3
Храм новомучеников и исповедников Церкви Русской (планируется);г. Красное село
Храм священномученика Петра Скипетрова в жилом комплексе «Город мастеров»;проспект Маршала Блюхера, дом 9, корпус 2 литера А
Морская памятная часовня св. прав. Иоанна Кронштадтского в деревне Старая;деревня Старая, улица Иоанна Кронштадтского
Храм святого Георгия Победоносца в Мартышкине;город Ломоносов, посёлок Мартышкино, улица Балтийская, д. 33/1.
Часовня Казанской иконы Божией Матери при женской консультации № 19;Пражская ул., 12
Храм священномученика Николая, пресвитера Кронштадтского;пр. Славы, северо-восточнее дома 52, корп. 1, лит. А по проспекту Славы.
Молитвенная комната в отделении соцреабилитации "Маленькая мама";Трамвайный пр., д.15, корп.4
Храм святителя Луки Войно-Ясенецкого при НИИ скорой помощи имени Иустина Джанелидзе (строится);
Храм св. прв. врача страстотерпца Евгения Боткина при Военно-медицинской Академии (строится);ул. Академика Лебедева, 6
Храм великомученицы Ирины в Ириновке;посёлок Ириновка
Мемориальная часовня в честь святых благоверных князей Александра Невского и Димитрия Донского в память о воинах, павших в ходе героической обороны Ленинграда;Рахьинское городское поселение, п.ст. Ладожское Озеро, Музей «Дорога жизни»
Храм святителя Николая в Приморском районе (планируется);
Храм-часовня во имя Тихвинской иконы Божией Матери на территории 1489 полка;
Храм Всех святых в п. Большая Ижора;посёлок Большая Ижора
Храм святителя Луки Крымского в посёлке Романовка (строится);посёлок Романовка
Храм святого равноапостольного князя Владимира в Щеглово;посёлок Щеглово
Храм в честь Собора святых Санкт-Петербургской митрополии в здании епархиального управления в г. Гатчина;г. Гатчина, улица Красная, д. 1 А.
Храм святителя Луки Крымского при Тихвинской Межрайонной больнице;город Тихвин, улица Карла Маркса, дом 68
Храм в честь Собора новомучеников и исповедников Санкт-Петербургских в п. Петро-Славянка (строится);п. Петро-Славянка
Храм Державной иконы Пресвятой Богородицы в здании Санкт-Петербургской общественной организации «Общество памяти игумении Таисии» (строится);Центральный р-н, ул, Кирилловская, д. 11
Храм иконы Божией Матери «Всех скорбящих Радость» в Выборгском районе (планируется);Выборгский район, пр. Художников, южнее д.22, корп.1
Молитвенное помещение преподобного Алексия, человека Божия, в пос. Белоостров;п.Белоостров, Сестрорецкое шоссе д.4, здание поселковой почты
Васильевский женский скит д. Чернавино;деревня Чернавино, д. 27
Храм Всех Карельских Святых п. Гаврилово (строится);Ленинградская область, Выборгский район, посёлок Гаврилово
Храм прп. Сергия Радонежского д. Агалатово (планируется);188653, Ленинградская обл., Всеволожский район, п. Агалатово
